,do_nothing,harvest_minerals,build_spawning_pool,train_zergling,train_queen,train_overlord,do_injection,attack
"(1, 12, 0, 1, 0, 0, 0, 0, 2, False, False, True, False, 0, 0, 0, 0, 0, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12, 0, 1, 0, 0, 0, 0, 2, False, False, True, False, 1, 12, 12, 1, 0, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12, 0, 1, 0, 0, 0, 0, 2, True, False, True, False, 1, 12, 12, 1, 0, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12, 0, 1, 0, 0, 0, 0, 2, True, False, True, True, 1, 12, 12, 1, 0, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12, 0, 1, 0, 0, 0, 0, 2, True, True, True, True, 1, 12, 12, 1, 0, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12, 0, 2, 0, 0, 0, 0, 10, True, True, True, True, 1, 12, 12, 1, 0, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12, 0, 2, 0, 0, 0, 0, 10, True, True, True, True, 1, 12, 12, 2, 0, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12, 0, 2, 0, 0, 0, 0, 10, True, True, True, True, 1, 12, 12, 3, 0, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12, 0, 2, 0, 0, 0, 0, 10, True, True, True, True, 1, 11, 11, 3, 1, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12, 0, 2, 0, 0, 0, 0, 10, True, True, True, True, 1, 11, 11, 4, 1, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12, 0, 3, 0, 0, 0, 0, 18, True, True, True, True, 1, 11, 11, 4, 1, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12, 0, 3, 0, 0, 0, 0, 18, True, True, True, True, 1, 11, 11, 5, 1, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 3, 1, 0, 0, 0, 19, True, False, True, True, 1, 11, 11, 5, 1, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 4, 1, 0, 0, 0, 27, True, False, True, True, 1, 11, 11, 5, 1, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 4, 1, 0, 0, 0, 27, True, True, True, True, 1, 11, 11, 5, 1, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 5, 1, 0, 0, 0, 35, True, True, True, True, 1, 11, 11, 6, 1, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 6, 1, 0, 0, 0, 43, True, True, True, True, 1, 11, 11, 6, 1, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11, 0, 6, 1, 0, 0, 0, 43, True, False, True, True, 1, 11, 11, 6, 1, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
